Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Attachment,Attachment,Attachment,Attachment,Custom field (Development),Custom field (Goals),Custom field (Issue color),Custom field (Rank),Sprint,Custom field (Start date),Custom field (Story point estimate),Custom field (Team),Comment,Status Category,Status Category Changed
TestRun - 01 - OIP-TC-128-139,OIP-12,10453,Task,Done,OIP,OiP - Screen,software,krsticveljko587,712020:42dc36ae-35ac-4cfa-b534-5233e17078d1,,Medium,Done,,,maksim.jezdic,712020:1c60192d-d7f5-43b1-80d5-b010661eb743,maksim.jezdic,712020:1c60192d-d7f5-43b1-80d5-b010661eb743,18/Apr/26 3:26 PM,18/Apr/26 3:26 PM,,18/Apr/26 3:26 PM,,0,,,maksim.jezdic,,712020:1c60192d-d7f5-43b1-80d5-b010661eb743,,,,,,,,,,18/Apr/26 3:26 PM;ug:49edb4a1-060f-4d3b-b620-dc98741cd99c;OIP - TestRun01 - 06.01 - Logout - Non-Functional.xlsx;https://krsticveljko587.atlassian.net/rest/api/3/attachment/content/10298,18/Apr/26 3:26 PM;ug:49edb4a1-060f-4d3b-b620-dc98741cd99c;OIP - TestRun01 - 06.02 - Logout - Functional.xlsx;https://krsticveljko587.atlassian.net/rest/api/3/attachment/content/10299,18/Apr/26 3:26 PM;ug:49edb4a1-060f-4d3b-b620-dc98741cd99c;OIP - TestRun01 - 07.01 - Striming prozor - Non-Functional - Copy.xlsx;https://krsticveljko587.atlassian.net/rest/api/3/attachment/content/10297,,,,,0|i0003s:,OIP Sprint 1,,,,,Done,18/Apr/26 3:26 PM
TestRun - 01 - OIP-TC - 001-045,OIP-11,10365,Task,Done,OIP,OiP - Screen,software,krsticveljko587,712020:42dc36ae-35ac-4cfa-b534-5233e17078d1,,Medium,Done,,,maksim.jezdic,712020:1c60192d-d7f5-43b1-80d5-b010661eb743,maksim.jezdic,712020:1c60192d-d7f5-43b1-80d5-b010661eb743,11/Apr/26 7:01 PM,11/Apr/26 7:43 PM,,11/Apr/26 7:43 PM,,0,,,maksim.jezdic,,712020:1c60192d-d7f5-43b1-80d5-b010661eb743,,,,,,,,,,11/Apr/26 7:43 PM;ug:49edb4a1-060f-4d3b-b620-dc98741cd99c;OIP - TestRun01 - 01.01 - Main Page (User Not Logged In) - (Non-Funcitonal).xlsx;https://krsticveljko587.atlassian.net/rest/api/3/attachment/content/10222,11/Apr/26 7:43 PM;ug:49edb4a1-060f-4d3b-b620-dc98741cd99c;OIP - TestRun01 - 01.02 - Main Page (User Not Logged In) - (Funcitonal).xlsx;https://krsticveljko587.atlassian.net/rest/api/3/attachment/content/10221,11/Apr/26 7:43 PM;ug:49edb4a1-060f-4d3b-b620-dc98741cd99c;OIP - TestRun01 - 02.01 - Main Page (User  Logged In) - (Non-Funcitonal) - (045 - 047).xlsx;https://krsticveljko587.atlassian.net/rest/api/3/attachment/content/10220,,,,,0|i0003t:,OIP Sprint 1,,,,,Done,11/Apr/26 7:43 PM
Write TC 1-47,OIP-4,10188,Task,Done,OIP,OiP - Screen,software,krsticveljko587,712020:42dc36ae-35ac-4cfa-b534-5233e17078d1,,Medium,Done,maksim.jezdic,712020:1c60192d-d7f5-43b1-80d5-b010661eb743,kalina.jovanovski,712020:cede6a14-98a9-4947-948c-fe4ed838860b,kalina.jovanovski,712020:cede6a14-98a9-4947-948c-fe4ed838860b,28/Mar/26 5:48 PM,11/Apr/26 7:21 PM,,11/Apr/26 7:00 PM,,0,,,kalina.jovanovski,,712020:cede6a14-98a9-4947-948c-fe4ed838860b,,,,,,,,,,11/Apr/26 7:21 PM;ug:49edb4a1-060f-4d3b-b620-dc98741cd99c;OIP - TCs - 01.01 - Main Page (User Not Logged In) - (Non-Funcitonal).xlsx;https://krsticveljko587.atlassian.net/rest/api/3/attachment/content/10219,11/Apr/26 7:13 PM;ug:49edb4a1-060f-4d3b-b620-dc98741cd99c;OIP - TCs - 01.02 - Main Page (User Not Logged In) - (Funcitonal).xlsx;https://krsticveljko587.atlassian.net/rest/api/3/attachment/content/10218,11/Apr/26 7:13 PM;ug:49edb4a1-060f-4d3b-b620-dc98741cd99c;OIP - TCs - 02.01 - Main Page (User Logged In) - (Non-Funcitonal) - (045 - 047).xlsx;https://krsticveljko587.atlassian.net/rest/api/3/attachment/content/10216,,,,,0|i0003v:,OIP Sprint 1,,,,,Done,11/Apr/26 7:00 PM
Write documentation,OIP-1,10148,Task,Done,OIP,OiP - Screen,software,krsticveljko587,712020:42dc36ae-35ac-4cfa-b534-5233e17078d1,,Medium,Done,maksim.jezdic,712020:1c60192d-d7f5-43b1-80d5-b010661eb743,krsticveljko587,712020:42dc36ae-35ac-4cfa-b534-5233e17078d1,krsticveljko587,712020:42dc36ae-35ac-4cfa-b534-5233e17078d1,21/Mar/26 4:12 PM,28/Mar/26 5:45 PM,21/Mar/26 4:14 PM,28/Mar/26 5:45 PM,,0,,,krsticveljko587,,712020:42dc36ae-35ac-4cfa-b534-5233e17078d1,,,,,,,,,,28/Mar/26 5:45 PM;ug:49edb4a1-060f-4d3b-b620-dc98741cd99c;Dokumentacija OIP SCREEN.docx;https://krsticveljko587.atlassian.net/rest/api/3/attachment/content/10067,,,,,,,0|i0003z:,OIP Sprint 1,,,,,Done,28/Mar/26 5:45 PM
Write test plan,OIP-2,10149,Task,Done,OIP,OiP - Screen,software,krsticveljko587,712020:42dc36ae-35ac-4cfa-b534-5233e17078d1,,Medium,Done,kalina.jovanovski,712020:cede6a14-98a9-4947-948c-fe4ed838860b,krsticveljko587,712020:42dc36ae-35ac-4cfa-b534-5233e17078d1,krsticveljko587,712020:42dc36ae-35ac-4cfa-b534-5233e17078d1,21/Mar/26 4:13 PM,28/Mar/26 5:48 PM,,28/Mar/26 5:48 PM,,0,,,krsticveljko587,,712020:42dc36ae-35ac-4cfa-b534-5233e17078d1,,,,,,,,,,28/Mar/26 5:47 PM;ug:4ec8d480-d521-41b1-ab4b-47f5e9d926d1;OiP Screen - Testplan.docx;https://krsticveljko587.atlassian.net/rest/api/3/attachment/content/10068,,,,,,,0|i00047:,OIP Sprint 1,,,,,Done,28/Mar/26 5:48 PM
Bug report primer,OIP-3,10150,Bug,Issues,OIP,OiP - Screen,software,krsticveljko587,712020:42dc36ae-35ac-4cfa-b534-5233e17078d1,,Medium,,krsticveljko587,712020:42dc36ae-35ac-4cfa-b534-5233e17078d1,krsticveljko587,712020:42dc36ae-35ac-4cfa-b534-5233e17078d1,krsticveljko587,712020:42dc36ae-35ac-4cfa-b534-5233e17078d1,21/Mar/26 4:14 PM,21/Mar/26 4:16 PM,21/Mar/26 4:16 PM,,,0,"Steps to reproduce

Expected result

Actual result

Description",,krsticveljko587,,712020:42dc36ae-35ac-4cfa-b534-5233e17078d1,,,,,,,,,,,,,,,,,0|i0004f:,OIP Sprint 1,,,,,In Progress,21/Mar/26 4:14 PM
Write TC 48-95,OIP-5,10189,Task,Done,OIP,OiP - Screen,software,krsticveljko587,712020:42dc36ae-35ac-4cfa-b534-5233e17078d1,,Medium,Done,,,kalina.jovanovski,712020:cede6a14-98a9-4947-948c-fe4ed838860b,kalina.jovanovski,712020:cede6a14-98a9-4947-948c-fe4ed838860b,28/Mar/26 5:49 PM,09/Apr/26 5:59 PM,,03/Apr/26 5:46 PM,04/Apr/26 12:00 AM,0,,,kalina.jovanovski,,712020:cede6a14-98a9-4947-948c-fe4ed838860b,,,,,,,,,,,,,,,,,0|i0005j:,OIP Sprint 1,,,,,Done,03/Apr/26 5:46 PM
Create app,OIP-7,10260,Task,Done,OIP,OiP - Screen,software,krsticveljko587,712020:42dc36ae-35ac-4cfa-b534-5233e17078d1,,Medium,Done,krsticveljko587,712020:42dc36ae-35ac-4cfa-b534-5233e17078d1,krsticveljko587,712020:42dc36ae-35ac-4cfa-b534-5233e17078d1,krsticveljko587,712020:42dc36ae-35ac-4cfa-b534-5233e17078d1,05/Apr/26 10:54 AM,05/Apr/26 10:54 AM,,05/Apr/26 10:54 AM,,0,,,krsticveljko587,,712020:42dc36ae-35ac-4cfa-b534-5233e17078d1,,,,,,,,,,,,,,,,,0|i0005n:,OIP Sprint 1,,,,,Done,05/Apr/26 10:54 AM
Write TC 96-139,OIP-6,10190,Task,Done,OIP,OiP - Screen,software,krsticveljko587,712020:42dc36ae-35ac-4cfa-b534-5233e17078d1,,Medium,Done,Srdjan Vulanovic,712020:640e99ce-d458-406c-91f8-4e3e2ad1f683,kalina.jovanovski,712020:cede6a14-98a9-4947-948c-fe4ed838860b,kalina.jovanovski,712020:cede6a14-98a9-4947-948c-fe4ed838860b,28/Mar/26 5:49 PM,18/Apr/26 3:26 PM,,18/Apr/26 3:26 PM,,0,,,kalina.jovanovski,,712020:cede6a14-98a9-4947-948c-fe4ed838860b,,,,,,,,,,18/Apr/26 3:23 PM;ug:49edb4a1-060f-4d3b-b620-dc98741cd99c;OIP - TCs - 06.01 - Logout - Non-Functional - Rev 1.02.xlsx;https://krsticveljko587.atlassian.net/rest/api/3/attachment/content/10295,18/Apr/26 3:23 PM;ug:49edb4a1-060f-4d3b-b620-dc98741cd99c;OIP - TCs - 06.01 - Logout - Non-Functional.xlsx;https://krsticveljko587.atlassian.net/rest/api/3/attachment/content/10294,18/Apr/26 3:23 PM;ug:49edb4a1-060f-4d3b-b620-dc98741cd99c;OIP - TCs - 06.02 - Logout - Functional.xlsx;https://krsticveljko587.atlassian.net/rest/api/3/attachment/content/10296,18/Apr/26 3:23 PM;ug:49edb4a1-060f-4d3b-b620-dc98741cd99c;OIP - TCs - 07.01 - Striming prozor - Non-Functional.xlsx;https://krsticveljko587.atlassian.net/rest/api/3/attachment/content/10293,,,,0|i0005r:,OIP Sprint 1,,,,,Done,18/Apr/26 3:26 PM
BR-OIP-TC-065,OIP-8,10330,Bug,Issues,OIP,OiP - Screen,software,krsticveljko587,712020:42dc36ae-35ac-4cfa-b534-5233e17078d1,,High,,krsticveljko587,712020:42dc36ae-35ac-4cfa-b534-5233e17078d1,kalina.jovanovski,712020:cede6a14-98a9-4947-948c-fe4ed838860b,kalina.jovanovski,712020:cede6a14-98a9-4947-948c-fe4ed838860b,09/Apr/26 6:00 PM,11/Apr/26 7:41 PM,,,,0,"|Select komedija in the dropdown option list| |
|check the filter Zanra checkbox| |

|Expected result|
|Filter zanra is checked. Film list and Serije list lists should contain only movies/series that are of komedija zanr|
|Actual result|
|Filter zanra is checked. Nothing is filtered, the filter doesn't work until you click on ""Trazi"" button, once you click on Trazi the filter is applied|
|Description|
|Trazi button must be clicked in order to apply the filter. This is not according to documentation|","|Device Name DESKTOP-B9L2B71
Processor Intel(R) Core(TM) i5-6500 CPU @ 3.20GHz   3.19 GHz
Installed RAM 8.00 GB (7.38 GB usable)
Storage 238 GB SSD MTFDDAK256TBN-1AR15ABHA
Graphics Card Intel(R) HD Graphics 530 (128 MB)
Device ID 76139ADC-2A51-4241-8941-934EA6799100
Product ID 00342-50751-62737-AAOEM
System Type 64-bit operating system, x64-based processor
Pen and touch No pen or touch input is available for this display|
|Edition Windows 10 Pro
Version 22H2
Installed on ‎11/‎14/‎2022
OS Build 19045.6466|",kalina.jovanovski,maksim.jezdic,712020:cede6a14-98a9-4947-948c-fe4ed838860b,712020:1c60192d-d7f5-43b1-80d5-b010661eb743,,,,,,,,,,,,,,,,0|i0007z:,OIP Sprint 1,,,,"11/Apr/26 7:41 PM;712020:1c60192d-d7f5-43b1-80d5-b010661eb743;Related: OIP-TC-022 - OIP-TC-027, OIP-TC-039, OIP-TC-041",In Progress,09/Apr/26 6:00 PM
